Date,Open,High,Low,Close
21-08-2026,69.27,71.09,69.27,70.58
20-08-2026,71.13,71.13,68.76,69.27
19-08-2026,70.83,71.52,69.79,71.13
18-08-2026,73.51,73.51,70.49,70.83
17-08-2026,74.35,74.35,73.07,73.51
14-08-2026,73.71,75.29,73.71,74.35
13-08-2026,73.47,74.7,73.34,73.71
12-08-2026,74.15,75.64,73.42,73.47
11-08-2026,73.38,74.85,73.38,74.15
10-08-2026,73.71,74.37,73.33,73.38
07-08-2026,71.35,73.85,71.25,73.71
06-08-2026,71.25,73.62,70.46,71.34
05-08-2026,73.31,73.31,71.25,71.25
04-08-2026,69.83,73.66,69.83,73.31
03-08-2026,68.1,70.4,67.43,69.83
31-07-2026,67.95,69.7,67.12,68.1
30-07-2026,63.3,68.04,63.3,67.95
29-07-2026,65.91,66.29,63.23,63.3
28-07-2026,68.26,68.26,64.63,65.91
27-07-2026,67.28,68.72,66.39,68.26
24-07-2026,70.66,70.72,67.18,67.28
23-07-2026,71.88,72.38,70.33,70.65
22-07-2026,72.67,73.6,71.86,71.88
21-07-2026,70.51,72.97,70.51,72.67
20-07-2026,70.98,71.69,70.08,70.51
17-07-2026,71,72.13,68.81,70.98
16-07-2026,74.16,74.16,70.38,70.99
15-07-2026,74.19,76,72.71,74.16
14-07-2026,72.24,74.84,72.24,74.19
13-07-2026,74.73,74.73,71.94,72.24
10-07-2026,75.69,76.04,74.49,74.73
09-07-2026,74.74,76.45,74.74,75.69
08-07-2026,74.97,74.99,73.09,74.74
07-07-2026,79.67,79.67,74.35,74.97
06-07-2026,77.78,80.9,77.78,79.67
02-07-2026,80.92,83.18,76.68,77.78
01-07-2026,82.95,83.3,80.8,80.92
30-06-2026,80.84,83.69,80.84,82.95
29-06-2026,78.34,81.07,77.72,80.84
26-06-2026,79.6,79.6,77.7,78.33
25-06-2026,80.23,81.66,77.8,79.6
24-06-2026,82.78,82.78,79.09,80.23
23-06-2026,87.59,87.59,82.73,82.78
22-06-2026,87.75,89.34,86.61,87.59
18-06-2026,84.34,87.79,84.34,87.75
17-06-2026,84.51,87.58,84.33,84.34
16-06-2026,86.23,87.39,84.49,84.51
15-06-2026,84.75,88.27,84.75,86.23
12-06-2026,83.94,86.32,83.6,84.75
11-06-2026,79.63,84.02,79.63,83.94
10-06-2026,83.02,84.07,79.6,79.63
09-06-2026,86.42,88.58,79.65,83.02
08-06-2026,86.27,88.6,86,86.42
05-06-2026,96.63,96.63,85.32,86.27
04-06-2026,95.71,97.26,93.27,96.63
03-06-2026,99.33,99.33,95.68,95.71
02-06-2026,95.76,99.73,95.76,99.33
01-06-2026,95.74,96.58,93.61,95.76
29-05-2026,96.89,96.89,93.17,95.74
28-05-2026,95.21,98.07,94.45,96.88
27-05-2026,94.34,96.47,92.07,95.21
26-05-2026,90.98,95.75,90.98,94.34
22-05-2026,87.95,91.76,87.95,90.98
21-05-2026,83.73,88.38,83.66,87.95
20-05-2026,80.26,84.13,80.26,83.73
19-05-2026,82.82,82.82,78.07,80.26
18-05-2026,87.31,87.31,81.32,82.82
15-05-2026,88.46,88.46,84.6,87.31
14-05-2026,88.83,88.83,85.31,88.46
13-05-2026,86.73,89.37,85.57,88.83
12-05-2026,88.57,88.57,83.84,86.72
11-05-2026,85.53,90.23,85.02,88.57
08-05-2026,83.12,85.83,83.12,85.53
07-05-2026,84.82,85.56,82.58,83.12
06-05-2026,83.83,84.91,82.94,84.82
05-05-2026,81.14,83.94,81.14,83.83
04-05-2026,81.96,82.5,79.99,81.14
01-05-2026,80.73,82.14,80.02,81.96
30-04-2026,77.12,80.75,77.12,80.73
29-04-2026,76.7,77.7,75.83,77.12
28-04-2026,78.94,78.94,75.38,76.69
27-04-2026,78.51,79.13,77.31,78.94
24-04-2026,78.71,79.87,77.69,78.51
23-04-2026,79.45,80.29,76.98,78.71
22-04-2026,76.51,79.74,76.51,79.45
21-04-2026,77.08,79.22,76.27,76.51
20-04-2026,75.64,77.13,75.19,77.08
17-04-2026,74.73,77.02,74.73,75.64
16-04-2026,73.8,74.78,73.01,74.73
15-04-2026,72.61,74.28,72.57,73.8
14-04-2026,70.6,72.85,70.6,72.61
13-04-2026,69.5,70.97,69.07,70.6
10-04-2026,68.79,70.66,68.79,69.5
09-04-2026,68.68,69.64,68.32,68.79
08-04-2026,65.9,69.76,65.9,68.68
07-04-2026,67.14,67.14,64.64,65.9
06-04-2026,67.12,68,66.56,67.14
02-04-2026,66.66,67.96,64.76,67.12
01-04-2026,66.67,68.06,66.24,66.66
31-03-2026,63.65,66.74,63.65,66.67
30-03-2026,65.74,67.14,63.16,63.65
27-03-2026,66.33,66.68,65.21,65.74
26-03-2026,69.24,69.24,66.23,66.33
25-03-2026,68.01,69.83,68.01,69.24
24-03-2026,66.76,68.51,66.1,68.01
23-03-2026,65.1,67.82,65.1,66.76
20-03-2026,67.92,68.04,64.44,65.1
19-03-2026,67.67,68.56,65.6,67.92
18-03-2026,69.12,69.23,67.66,67.67
17-03-2026,68.79,69.73,68.58,69.12
16-03-2026,67.98,69.98,67.98,68.79
13-03-2026,68.4,70.07,67.6,67.98
12-03-2026,69.68,69.68,67.92,68.4
11-03-2026,68.6,70.65,68.6,69.68
10-03-2026,66.99,69.69,66.99,68.6
09-03-2026,66.73,67.16,63.74,66.99
06-03-2026,66.73,66.98,64.8,65.13
05-03-2026,68.43,68.43,65.31,66.73
04-03-2026,66.93,68.77,66.93,68.43
03-03-2026,69.94,69.94,65.64,66.93
02-03-2026,68.45,70.13,66.65,69.94
27-02-2026,71.44,71.44,67.4,68.45
26-02-2026,72.37,72.37,69.45,71.44
25-02-2026,72.23,73.3,72.23,72.37
24-02-2026,70.23,72.65,69.75,72.23
23-02-2026,70.55,70.76,69.17,70.23
20-02-2026,70.84,71.92,69.82,70.55
19-02-2026,70.79,70.98,69.61,70.84
18-02-2026,70.53,72.02,70.13,70.79
17-02-2026,70.56,71.08,68.98,70.52
13-02-2026,69.53,71.47,68.97,70.56
12-02-2026,72.84,73,69.4,69.53
11-02-2026,72.59,74.56,71.18,72.84
10-02-2026,73.35,74.02,72.03,72.59
09-02-2026,72.14,73.63,71.41,73.35
06-02-2026,67.48,72.3,67.48,72.14
05-02-2026,71.34,71.34,67.22,67.48
04-02-2026,73.19,74.67,69.16,71.34
03-02-2026,71.05,74.05,70.52,73.19
02-02-2026,71.22,72.08,70.24,71.05
30-01-2026,74.98,74.98,71.13,71.22
29-01-2026,76.31,76.31,72.63,74.98
28-01-2026,75.42,77.04,75.23,76.3
27-01-2026,73.84,75.67,73.84,75.42
26-01-2026,75.82,75.93,73.66,73.83
23-01-2026,76.37,77.03,75.39,75.82
22-01-2026,74.01,77.03,74.01,76.37
21-01-2026,73.05,74.8,71.73,74.01
20-01-2026,74.4,74.55,72.29,73.05
16-01-2026,73.62,74.92,73.05,74.4
15-01-2026,73.73,75,73.53,73.62
14-01-2026,73.27,73.85,72.18,73.73
13-01-2026,72.7,74.06,72.54,73.27
12-01-2026,70.52,73.51,70.51,72.7
09-01-2026,69.95,70.91,69.51,70.52
08-01-2026,69.87,71.01,69.52,69.95
07-01-2026,70.96,70.96,69.57,69.87
06-01-2026,69.83,71.11,69.67,70.96
05-01-2026,68.14,70.36,68.14,69.83
02-01-2026,64.45,68.2,64.45,68.14
31-12-2025,65.38,65.41,64.14,64.44
30-12-2025,66.13,66.84,65.37,65.38
29-12-2025,67.6,67.6,66.08,66.13
26-12-2025,67.95,68.09,66.83,67.6
24-12-2025,67.66,68.04,67.25,67.95
23-12-2025,68.45,68.94,67.23,67.66
22-12-2025,66.48,68.9,66.48,68.45
19-12-2025,64.81,67.19,64.81,66.48
18-12-2025,62.7,65.84,62.7,64.81
17-12-2025,64.54,66.22,62.64,62.69
16-12-2025,64.72,65.18,63.67,64.54
15-12-2025,66.55,66.8,64.65,64.71
12-12-2025,69.51,69.51,65.86,66.55
11-12-2025,68.05,69.58,66.02,69.51
10-12-2025,68.07,69.02,67.12,68.05
09-12-2025,67.46,68.78,66.69,68.07
08-12-2025,67.43,68.31,66.59,67.46
05-12-2025,67.74,68.44,67.27,67.43
04-12-2025,65.19,67.95,64.85,67.74
03-12-2025,65.11,65.2,63.82,65.19
02-12-2025,64.88,65.74,64.42,65.11
01-12-2025,66.32,66.32,64.86,64.88
28-11-2025,64.91,66.53,64.89,66.32
26-11-2025,63.09,65.31,63.09,64.91
25-11-2025,61.83,63.19,60.51,63.09
24-11-2025,60.22,61.98,60.22,61.83
21-11-2025,59.39,60.64,57.45,60.22
20-11-2025,62.64,64.78,59.34,59.39
19-11-2025,62.67,64.53,62.22,62.64
18-11-2025,62.58,63.96,61.08,62.67
17-11-2025,64.03,64.98,62.05,62.58
14-11-2025,63.48,65.16,60.82,64.03
13-11-2025,67.01,67.06,63.04,63.47
12-11-2025,68.59,69.12,65.99,67.01
11-11-2025,69.86,69.86,67.36,68.59
10-11-2025,66.89,70.6,66.89,69.86
07-11-2025,66.16,66.89,62.69,66.89
06-11-2025,69.24,69.24,65.99,66.16
05-11-2025,65.48,69.89,65.48,69.24
04-11-2025,69.09,69.09,65.4,65.48
03-11-2025,70.27,70.88,68.73,69.09
31-10-2025,68.01,70.31,68.01,70.27
30-10-2025,69.63,69.63,67.99,68.01
29-10-2025,68.49,71.28,68.49,69.63
28-10-2025,69.6,69.95,68.24,68.49
27-10-2025,70.34,71.12,69.19,69.6
24-10-2025,67.81,71.05,67.81,70.34
23-10-2025,66.72,68.27,66.72,67.8
22-10-2025,69.24,69.24,64.78,66.72
21-10-2025,71.44,71.44,68.91,69.24
20-10-2025,69.07,71.55,69.07,71.44
17-10-2025,71.52,71.52,68.22,69.07
16-10-2025,75.34,76.56,71.13,71.52
15-10-2025,72.9,76.01,72.78,75.34
14-10-2025,70.64,73.92,67.62,72.9
13-10-2025,65.74,71.04,65.74,70.64
10-10-2025,68.86,69.85,65.47,65.74
09-10-2025,68.31,69.48,67.94,68.86
08-10-2025,67.75,68.7,67.75,68.31
07-10-2025,68.74,70.16,66.88,67.75
06-10-2025,66.51,69.31,66.51,68.74
03-10-2025,64.41,67.24,64.41,66.51
02-10-2025,64.03,64.79,64.03,64.41
01-10-2025,60.52,64.15,60.52,64.03
30-09-2025,60.8,60.85,59.25,60.52
29-09-2025,61.17,62.26,60.66,60.8
26-09-2025,61.66,62.03,60.43,61.17
25-09-2025,60.84,61.79,58.95,61.66
24-09-2025,59.79,61.85,59.79,60.84
23-09-2025,61.18,62.13,59.69,59.79
22-09-2025,59.36,61.2,58.29,61.18
19-09-2025,58.48,59.64,58.48,59.36
18-09-2025,56.59,58.62,56.49,58.48
17-09-2025,55.34,57.71,55.32,56.59
16-09-2025,54.75,55.45,54.46,55.34
15-09-2025,53.21,54.88,53.21,54.75
12-09-2025,52.92,53.43,52.52,53.21
11-09-2025,51.87,53.56,51.67,52.91
10-09-2025,51.75,52.76,51.66,51.87
09-09-2025,52.93,52.93,51.44,51.75
08-09-2025,53.34,54.12,52.7,52.93
05-09-2025,51.96,53.38,51.7,53.34
04-09-2025,51.83,51.96,51.28,51.96
03-09-2025,51.99,52.6,51.75,51.83
02-09-2025,52.84,52.84,50.86,51.99
