Lag,LR Statistic,p-value,Significant
2,222.42783907269478,2.2338348855835097e-38,True
3,27.119237868882838,0.04017672231810299,True
4,47.87632939960683,4.967141754881119e-05,True
5,26.859278068724738,0.043073988898819776,True
6,117.66133980497361,1.5448764625750237e-17,True
7,17.754610891685907,0.3384609618601932,False
8,30.36732834117814,0.016188161081509767,True
9,29.12750341607339,0.023090418931176998,True
10,36.90575715793565,0.002162072185083275,True
11,30.266632941459058,0.016667788434816998,True
12,30.193308647881004,0.01702530238489668,True
